4FGL-DR4,source_type,glat,glon,significance,r95,Ep,Fp,d,diffuse,p_pulsar
4FGL J1146.9+3958,fsrq-fsrq,71.468,164.951,115.444,0.015,0.100,213.435,0.154,-0.658,0.008
4FGL J1147.0-3812,bll-fsrq,22.953,289.242,54.320,0.018,0.165,16.021,0.106,-0.006,0.004
4FGL J1147.2-2627,bcu-fsrq,34.227,285.516,12.582,0.088,0.135,1.171,0.306,-0.110,0.002
4FGL J1147.4-6758,fsrq-pulsar,-5.852,296.974,8.276,0.136,0.437,1.781,0.764,0.367,0.819
4FGL J1147.7-6618,msp,-4.229,296.590,7.053,0.155,0.592,0.554,0.595,0.767,0.392
4FGL J1147.8-0724,fsrq-fsrq,52.180,276.636,20.716,0.041,0.145,3.764,0.243,-0.272,0.004
4FGL J1148.2-0029,unid-bll,58.471,271.546,5.705,0.082,0.100,0.231,-0.058,-0.481,0.006
4FGL J1148.5+2629,fsrq-fsrq,75.967,211.923,6.261,0.237,0.100,1.474,0.269,-0.627,0.003
4FGL J1148.6+1841,bll-bll,73.274,239.938,10.773,0.095,0.111,0.084,0.082,-0.459,0.004
4FGL J1149.0+5924,rdg-bll,55.964,137.087,11.776,0.051,1.728,0.039,0.185,-0.472,0.003
4FGL J1149.1+2819,bcu-bll,76.164,204.338,5.733,0.105,3.973,0.019,0.983,-0.595,0.002
4FGL J1149.2+6246,bll-bll,52.922,134.664,5.501,0.090,0.100,0.044,0.043,-0.646,0.004
4FGL J1149.4+2441,bll-bll,75.866,219.409,6.631,0.077,6.106,0.022,0.181,-0.557,0.005
4FGL J1149.5-4029,bcu-fsrq,20.869,290.391,11.508,0.053,0.312,0.441,0.258,0.140,0.003
4FGL J1150.0+1033,bll-bll,68.007,258.898,4.519,0.081,0.100,0.037,-0.100,-0.485,0.005
4FGL J1150.1-6324,unid-bll,-1.342,296.136,5.122,0.108,0.100,1.479,0.129,1.259,0.002
4FGL J1150.4+2418,bll-fsrq,75.977,221.157,40.492,0.024,0.201,6.201,0.110,-0.566,0.003
4FGL J1150.6+4154,bll-bll,70.687,159.096,67.824,0.014,10.481,11.848,0.270,-0.640,0.009
4FGL J1150.6-4823,bcu-pulsar,13.262,292.630,16.153,0.242,0.529,1.766,1.545,0.048,0.958
4FGL J1150.7-4613,unid-bll,15.363,292.108,10.731,0.054,0.145,0.156,0.109,0.057,0.003
4FGL J1150.8-1905,unid-bll,41.509,283.687,4.688,0.061,16.045,0.026,1.212,-0.218,0.005
4FGL J1151.2-2929,unid-bll,31.573,287.542,4.511,0.134,16.523,0.011,0.249,-0.196,0.005
4FGL J1151.3+0957,bll-fsrq,67.743,260.556,15.271,0.056,0.100,3.171,-0.038,-0.513,0.003
4FGL J1151.4-6248,spp-bll,-0.734,296.142,6.449,0.312,0.348,1.300,0.211,1.340,0.028
4FGL J1151.5-1347,bll-bll,46.575,281.511,17.309,0.029,8.654,0.236,0.162,-0.268,0.003
4FGL J1151.5+5859,bll-bll,56.486,136.888,39.582,0.019,7.115,0.979,0.225,-0.473,0.006
4FGL J1151.6-2115,bcu-bll,39.506,284.788,9.154,0.052,5.353,0.027,0.257,-0.212,0.003
4FGL J1152.0-6107,psr,0.921,295.829,18.605,0.051,1.257,6.802,0.907,1.039,0.997
4FGL J1152.1+2837,bll-bll,76.815,202.953,8.296,0.043,0.100,0.018,-0.014,-0.579,0.005
4FGL J1152.3-0839,fsrq-fsrq,51.445,279.066,38.792,0.037,0.202,9.335,0.227,-0.150,0.005
4FGL J1152.6-6207,spp-fsrq,-0.027,296.124,5.306,0.232,0.285,1.449,0.318,1.038,0.039
4FGL J1152.8+3308,fsrq-fsrq,75.996,183.972,7.379,0.061,0.100,3.179,-0.100,-0.554,0.005
4FGL J1153.0+8056,fsrq-fsrq,35.872,125.740,11.265,0.126,0.100,5.807,0.033,-0.211,0.006
4FGL J1153.2+0123,unid-bll,60.724,272.058,4.692,0.066,16.010,0.008,0.310,-0.509,0.006
4FGL J1153.3-1104,bcu-fsrq,49.279,280.779,38.976,0.022,0.360,5.011,0.194,-0.312,0.009
4FGL J1153.4+4931,fsrq-fsrq,64.985,145.554,43.253,0.024,0.100,15.308,0.090,-0.529,0.009
4FGL J1153.4-8008,unid-bll,-17.554,300.356,4.533,0.063,13.199,0.016,0.772,0.399,0.006
4FGL J1153.6-2553,bcu-bll,35.178,286.994,12.822,0.032,6.070,0.145,0.418,-0.087,0.001
4FGL J1153.7-3210,bcu-bll,29.118,288.960,4.174,0.091,0.713,0.026,0.332,-0.119,0.005
4FGL J1153.7+1857,unid-bll,74.435,241.571,4.738,0.101,0.358,0.028,0.236,-0.501,0.004
4FGL J1153.7+3822,bll-bll,73.508,166.359,7.498,0.050,1000.000,0.030,-0.035,-0.621,0.005
4FGL J1154.0-0010,bll-bll,59.406,273.792,17.228,0.031,26.576,0.273,0.183,-0.453,0.009
4FGL J1154.0+4037,fsrq-bll,72.044,160.516,17.254,0.037,1.405,0.100,0.083,-0.670,0.001
4FGL J1154.0+6018,fsrq-fsrq,55.406,135.410,13.770,0.086,0.100,4.888,0.334,-0.570,0.003
4FGL J1154.1-3243,bll-bll,28.624,289.221,34.977,0.024,1.536,2.258,0.214,-0.031,0.002
4FGL J1154.5-5952,unid-pulsar,2.219,295.842,8.597,0.132,0.642,2.026,1.288,0.752,0.995
4FGL J1155.2-6259,spp-fsrq,-0.810,296.597,6.481,0.067,0.100,5.625,-0.017,1.237,0.014
4FGL J1155.2+4320,fsrq-bll,70.200,154.337,4.462,0.198,0.100,0.394,-0.100,-0.660,0.006
4FGL J1155.2-1111,unid-bll,49.333,281.512,6.544,0.047,11.781,0.063,1.497,-0.283,0.002
4FGL J1155.5-3418,bll-bll,27.148,289.972,14.490,0.033,22.677,0.140,0.114,-0.112,0.007
4FGL J1155.6-6547,bcu-fsrq,-3.540,297.248,7.241,0.206,0.215,4.897,0.637,0.821,0.036
4FGL J1155.6-6245,spp-pulsar,-0.580,296.603,5.192,0.226,0.528,8.151,0.735,1.215,0.966
4FGL J1155.8+6137,bll-bll,54.266,134.208,8.612,0.064,8.059,0.009,0.200,-0.431,0.005
4FGL J1155.8-1217,bcu-bll,48.345,282.265,5.367,0.085,0.497,0.042,0.320,-0.207,0.007
4FGL J1156.6+0640,bcu-bll,65.757,267.992,6.992,0.156,1.172,0.022,0.569,-0.625,0.004
4FGL J1156.6-2248,bll-bll,38.338,286.777,13.037,0.058,2.609,0.097,0.150,-0.126,0.001
4FGL J1156.8-1537,bcu-fsrq,45.252,284.118,10.783,0.079,0.235,0.192,0.179,-0.260,0.003
4FGL J1157.2-6059,unid-pulsar,1.197,296.404,5.055,0.140,0.328,1.624,0.559,0.829,0.592
4FGL J1157.7-6327,unid-pulsar,-1.207,296.978,9.735,0.112,0.464,13.724,0.877,1.219,0.960
4FGL J1158.3-6232,spp-bll,-0.294,296.850,9.274,0.065,0.408,3.822,0.276,1.127,0.067
4FGL J1158.5+4824,fsrq-fsrq,66.363,145.183,21.212,0.098,0.100,1.821,0.092,-0.525,0.007
4FGL J1158.8-1430,unid-bll,46.457,284.285,8.000,0.095,1000.000,0.191,0.008,-0.251,0.005
4FGL J1158.9+0956,bcu-pulsar,68.823,264.666,7.950,0.098,0.638,0.990,1.711,-0.616,0.669
4FGL J1158.9+0818,bcu-bll,67.449,267.108,10.733,0.074,4.452,0.030,0.156,-0.626,0.003
4FGL J1159.0+0939,bll-bll,68.595,265.154,13.307,0.042,7.023,0.360,0.709,-0.605,0.017
4FGL J1159.2-2227,bcu-fsrq,38.831,287.396,35.540,0.035,0.316,8.313,0.273,-0.126,0.005
4FGL J1159.3-6122,unid-pulsar,0.861,296.737,5.525,0.194,0.856,0.414,0.422,0.907,0.790
4FGL J1159.3-2142,fsrq-fsrq,39.570,287.180,35.389,0.036,0.100,23.543,0.203,-0.150,0.004
4FGL J1159.5+2914,fsrq-fsrq,78.376,199.416,241.158,0.011,0.232,557.065,0.126,-0.605,0.010
4FGL J1159.5-0723,bll-bll,53.269,281.098,14.321,0.042,5.994,0.181,0.347,-0.239,0.001
4FGL J1200.2+0201,bcu-bll,62.051,274.730,21.025,0.040,2.972,0.283,0.283,-0.405,0.001
4FGL J1200.6+1229,bll-fsrq,71.145,261.369,11.795,0.068,0.193,0.285,0.226,-0.567,0.003
4FGL J1200.7+2008,bcu-fsrq,76.460,241.320,18.332,0.064,0.100,1.986,0.102,-0.529,0.004
4FGL J1200.8-1429,bcu-bll,46.608,284.955,8.638,0.085,3.900,0.041,0.337,-0.207,0.002
4FGL J1201.1-0332,bcu-bll,57.016,279.419,7.200,0.063,2.676,0.028,0.368,-0.292,0.003
4FGL J1201.4+8234,unid-bll,34.357,124.872,6.539,0.119,0.100,0.116,0.192,-0.037,0.005
4FGL J1201.4-6703,unid-bll,-4.662,298.079,4.316,0.136,0.101,0.445,0.232,0.568,0.008
4FGL J1201.7+1429,bll-fsrq,72.865,257.993,7.892,0.147,0.726,0.084,0.652,-0.496,0.004
4FGL J1202.4+4442,bll-bll,69.862,148.903,4.787,0.078,0.100,0.288,-0.042,-0.679,0.006
4FGL J1202.5-0528,fsrq-fsrq,55.321,281.178,12.985,0.186,0.100,9.870,0.419,-0.302,0.005
4FGL J1202.5+3852,bll-bll,74.441,160.809,10.219,0.150,0.100,0.517,-0.051,-0.617,0.006
4FGL J1203.1+6031,bll-bll,55.615,133.432,40.037,0.027,0.887,0.924,0.146,-0.652,0.002
4FGL J1203.3+1119,bcu-bll,70.568,265.043,6.295,0.102,0.405,0.081,0.324,-0.562,0.004
4FGL J1203.4-3925,bll-bll,22.510,292.914,19.666,0.039,64.579,0.355,0.074,0.002,0.013
4FGL J1203.4-6145,unid-pulsar,0.591,297.291,8.745,0.188,0.551,3.904,0.592,0.982,0.885
4FGL J1203.5-1748,unid-pulsar,43.592,287.099,11.063,0.078,1.251,0.167,0.558,-0.156,0.422
4FGL J1203.5-5745,unid-pulsar,4.526,296.557,5.618,0.184,0.369,0.615,0.617,0.534,0.795
4FGL J1203.7-6303,unid-pulsar,-0.684,297.560,6.640,0.075,1.069,2.915,1.011,1.412,0.998
4FGL J1203.7+5821,bll-bll,57.669,134.621,10.261,0.083,0.100,0.501,-0.086,-0.646,0.007
4FGL J1203.8-5920,unid-pulsar,2.979,296.889,4.685,0.106,1.747,0.171,1.226,0.714,0.836
4FGL J1203.9-6242,psr,-0.338,297.518,32.414,0.027,1.072,93.511,0.661,1.356,0.990
4FGL J1204.0+1146,bll-bll,71.047,264.735,12.369,0.043,11.018,0.096,0.299,-0.502,0.002
4FGL J1204.2-0709,bll-bll,53.859,282.835,25.167,0.025,9.939,0.957,0.199,-0.289,0.005
4FGL J1204.3-6111,unid-pulsar,1.167,297.284,5.414,0.267,0.443,3.164,1.022,0.963,0.858
4FGL J1204.5-5032,unid-pulsar,11.637,295.365,16.636,0.073,1.270,1.102,1.270,0.163,1.000
4FGL J1204.8+0407,fsrq-bll,64.441,275.086,5.348,0.243,0.100,0.099,0.131,-0.408,0.006
4FGL J1205.1-5951,unid-bll,2.498,297.138,4.114,0.094,0.177,0.180,0.136,0.798,0.003
4FGL J1205.3-6212,unid-pulsar,0.180,297.586,6.633,0.064,0.649,2.044,0.442,1.343,0.929
4FGL J1205.7-2635,fsrq-fsrq,35.164,290.416,20.106,0.038,0.100,8.526,0.096,0.021,0.005
4FGL J1205.8+3321,bcu-bll,78.360,177.847,6.899,0.121,0.100,0.213,0.035,-0.617,0.005
4FGL J1206.8-6038,unid-pulsar,1.763,297.488,5.712,0.183,0.808,0.658,0.662,0.881,0.990
4FGL J1206.8-5836,unid-pulsar,3.753,297.140,5.550,0.280,0.423,1.030,1.212,0.616,0.973
4FGL J1207.2-0524,bcu-bll,55.754,283.128,10.225,0.065,6.793,0.058,0.556,-0.288,0.001
4FGL J1207.4-5050,msp,11.417,295.867,20.019,0.045,1.578,1.840,1.333,0.184,1.000
4FGL J1207.4-1840,unid-bll,42.979,288.629,4.966,0.069,1.552,0.017,0.344,-0.138,0.004
4FGL J1207.4-4536,unid-pulsar,16.576,294.937,15.127,0.063,1.068,0.630,0.870,0.042,1.000
4FGL J1207.7-0106,fsrq-fsrq,59.868,280.740,21.904,0.058,0.685,0.384,0.387,-0.350,0.005
4FGL J1207.7-2229,bll-bll,39.277,289.870,13.283,0.044,0.642,0.094,0.019,-0.113,0.002
4FGL J1207.9-6443,unid-pulsar,-2.249,298.308,9.500,0.078,1.323,1.778,1.111,0.955,1.000
4FGL J1208.0-6900,unid-pulsar,-6.460,299.044,16.998,0.054,0.858,1.207,0.636,0.448,0.998
4FGL J1208.1+3017,bll-bll,79.991,191.972,7.058,0.072,13.402,0.014,0.400,-0.611,0.004
4FGL J1208.1-5149,spp-bll,10.478,296.147,5.939,0.052,1.890,0.028,0.155,0.198,0.003
4FGL J1208.2-6237,psr,-0.177,297.988,32.131,0.027,1.067,70.932,0.493,1.271,0.994
4FGL J1208.2-7810,bcu-bll,-15.500,300.649,10.021,0.046,5.208,0.065,0.294,0.241,0.004
4FGL J1208.2+1158,unid-bll,71.774,267.091,8.394,0.057,0.997,0.030,0.276,-0.578,0.004
4FGL J1208.4+6121,bll-bll,55.018,131.900,12.243,0.064,0.100,0.048,-0.040,-0.620,0.005
4FGL J1208.5-5243,snr-bll,9.594,296.366,17.594,0.000,188.989,2.395,0.033,0.184,0.024
4FGL J1208.5-5512,unid-pulsar,7.154,296.794,7.282,0.098,1.097,0.157,0.686,0.388,0.500
4FGL J1208.8-1751,bcu-bll,43.835,288.818,6.621,0.146,2.817,0.044,1.185,-0.089,0.007
4FGL J1208.8-2754,bcu-bll,34.022,291.579,11.240,0.067,2.812,0.108,0.588,0.017,0.005
4FGL J1208.9+5441,fsrq-fsrq,61.355,135.784,49.156,0.029,0.100,36.405,0.175,-0.680,0.008
4FGL J1209.0-4630,bcu-bll,15.748,295.379,6.527,0.081,0.100,0.053,0.016,0.123,0.004
4FGL J1209.2-6009,unid-pulsar,2.289,297.701,5.403,0.193,0.610,0.689,0.629,0.798,0.981
4FGL J1209.2-7635,unid-bll,-13.921,300.427,5.192,0.081,0.660,0.030,0.232,0.391,0.005
4FGL J1209.4+4118,bll-bll,73.400,151.565,30.014,0.025,11.113,0.512,0.120,-0.666,0.007
4FGL J1209.4+7608,bcu-bll,40.721,126.234,12.232,0.047,2.571,0.063,0.612,-0.247,0.002
4FGL J1209.4-6421,unid-bll,-1.849,298.412,5.106,0.155,0.366,1.772,0.427,1.049,0.388
4FGL J1209.7+2548,fsrq-bll,80.585,218.687,5.331,0.098,2.230,0.008,0.261,-0.589,0.004
4FGL J1209.8+1810,fsrq-fsrq,76.893,253.833,20.487,0.031,0.100,2.357,0.095,-0.429,0.007
4FGL J1210.1+3241,unid-bll,79.474,178.571,4.825,0.070,9.790,0.004,0.084,-0.643,0.008
4FGL J1210.3+3928,bll-bll,74.987,154.988,6.047,0.039,0.100,0.311,-0.100,-0.551,0.006
4FGL J1210.4-6250,unid-pulsar,-0.335,298.268,7.960,0.076,0.801,27.184,1.493,1.324,0.985
4FGL J1210.4-6100,unid-bll,1.468,297.986,4.290,0.138,1.277,0.161,0.336,1.056,0.004
4FGL J1211.0-3800,bcu-bll,24.172,294.224,7.930,0.081,0.577,0.107,0.232,-0.062,0.002
4FGL J1211.6-2735,bcu-fsrq,34.454,292.220,14.410,0.106,0.118,1.034,0.332,-0.025,0.006
4FGL J1211.6+3901,bll-bll,75.490,155.344,5.374,0.073,43.127,0.016,0.215,-0.575,0.005
4FGL J1211.8-4817,bcu-bll,14.055,296.159,4.306,0.078,0.100,0.328,-0.100,0.123,0.007
4FGL J1212.0-2326,bll-bll,38.534,291.348,15.228,0.050,3.618,0.125,0.099,0.027,0.001
4FGL J1212.0+2242,bll-bll,80.043,237.124,9.841,0.049,5.201,0.019,0.082,-0.533,0.005
4FGL J1212.1+6412,bcu-bll,52.390,129.919,6.765,0.058,0.100,1.181,-0.100,-0.598,0.004
4FGL J1212.2+2442,bcu-bll,80.858,226.062,8.998,0.100,1.657,0.051,0.293,-0.524,0.003
4FGL J1212.7-1402,bcu-bll,47.775,288.897,4.868,0.055,17.743,0.007,0.087,-0.133,0.006
4FGL J1213.0+5129,bll-bll,64.587,136.937,16.837,0.045,1.003,0.087,0.070,-0.617,0.001
4FGL J1213.3-2618,bll-bll,35.777,292.399,14.449,0.042,25.278,0.216,0.227,-0.013,0.008
4FGL J1213.6-5954,unid-pulsar,2.619,298.201,5.886,0.092,2.125,0.319,1.978,0.848,0.990
4FGL J1213.6+1236,unid-bll,72.988,269.720,5.648,0.051,9.150,0.017,1.453,-0.516,0.004
4FGL J1213.6+1306,fsrq-fsrq,73.432,268.826,19.206,0.067,0.236,2.299,0.331,-0.529,0.021
4FGL J1213.8-4345,bll-bll,18.593,295.787,9.239,0.053,0.378,0.159,0.125,0.108,0.003
4FGL J1213.9-4416,unid-pulsar,18.080,295.892,16.139,0.046,0.688,0.798,0.458,0.079,0.979
4FGL J1214.5-2318,unid-bll,38.778,292.035,5.897,0.070,2.764,0.039,0.527,0.042,0.002
4FGL J1214.6-1926,bcu-pulsar,42.580,291.131,4.510,0.195,0.871,0.088,2.000,-0.166,0.828
4FGL J1214.7-5858,unid-bll,3.564,298.207,4.043,0.195,1.992,0.082,0.458,0.641,0.004
4FGL J1215.0+5351,bll-bll,62.447,134.558,5.651,0.051,1.265,0.002,0.014,-0.646,0.010
4FGL J1215.0+1656,fsrq-fsrq,76.791,261.552,23.352,0.040,0.100,1.924,0.138,-0.441,0.008
4FGL J1215.1+5002,bll-bll,66.053,137.388,20.274,0.032,13.061,0.166,0.117,-0.552,0.004
4FGL J1215.1+0731,bll-bll,68.590,277.583,15.601,0.041,84.010,0.158,0.106,-0.476,0.012
4FGL J1215.1+3513,bll-fsrq,78.802,164.436,14.101,0.251,0.100,0.575,0.084,-0.687,0.006
4FGL J1215.5-5457,unid-fsrq,7.553,297.743,4.326,0.188,0.349,0.275,0.777,0.296,0.006
4FGL J1215.8-3732,bcu-bll,24.795,295.175,6.657,0.073,0.472,0.046,0.161,0.054,0.007
4FGL J1215.8-1733,bcu-fsrq,44.482,291.021,10.415,0.186,0.143,0.531,0.280,-0.126,0.005
4FGL J1216.1-0242,bll-bll,58.966,285.629,7.734,0.045,6.619,0.015,0.160,-0.234,0.005
4FGL J1216.1+0930,bll-bll,70.513,275.982,15.124,0.055,2.014,0.105,0.088,-0.528,0.001
4FGL J1216.2-6121,bcu-pulsar,1.225,298.721,5.037,0.262,0.598,1.286,0.880,1.003,0.994
4FGL J1216.2-0600,unid-fsrq,55.791,287.237,16.233,0.087,0.100,2.406,0.147,-0.198,0.002
4FGL J1216.2-1550,unid-bll,46.197,290.669,4.431,0.083,2.716,0.008,0.188,-0.177,0.006
4FGL J1216.3-1032,fsrq-fsrq,51.386,289.016,8.677,0.128,0.251,0.675,0.610,-0.105,0.008
4FGL J1216.4-6317,unid-bll,-0.683,299.008,4.330,0.062,44.251,0.131,0.478,1.405,0.008
4FGL J1216.4-1358,unid-bll,48.028,290.174,6.584,0.057,0.100,0.018,-0.036,-0.137,0.006
4FGL J1216.5-3539,unid-fsrq,26.671,295.017,4.045,0.125,0.160,0.112,0.308,-0.032,0.004
4FGL J1216.7-5911,unid-fsrq,3.378,298.495,5.700,0.090,0.349,1.443,0.681,0.779,0.392
4FGL J1216.8-5955,unid-fsrq,2.656,298.606,9.682,0.111,0.310,4.841,0.416,0.537,0.248
4FGL J1217.2-2500,unid-fsrq,37.219,293.204,7.365,0.116,1.223,0.097,0.774,0.007,0.289
4FGL J1217.9+3007,bll-bll,82.060,188.849,150.387,0.010,5.969,226.419,0.085,-0.587,0.013
4FGL J1218.0-0028,bll-bll,61.245,285.371,13.355,0.044,0.240,0.375,0.147,-0.294,0.002
4FGL J1218.1-6028,unid-fsrq,2.127,298.835,4.329,0.161,0.376,0.673,0.522,0.861,0.433
4FGL J1218.5-0119,bll-bll,60.464,286.076,45.294,0.026,1.215,6.465,0.219,-0.256,0.004
4FGL J1219.0+4827,fsrq-bll,67.769,137.220,6.336,0.145,0.100,0.222,-0.051,-0.663,0.005
4FGL J1219.0+3653,bll-bll,78.081,155.961,7.068,0.173,2.108,0.032,1.248,-0.614,0.007
4FGL J1219.0-4827,bll-bll,14.070,297.414,14.030,0.046,1.313,0.429,0.485,0.148,0.071
4FGL J1219.6+0550,rdg-bll,67.402,281.948,8.603,0.074,1.397,0.024,0.083,-0.433,0.004
4FGL J1219.7-0313,bll-bll,58.701,287.564,17.006,0.034,11.534,0.225,0.092,-0.202,0.004
4FGL J1219.7+0444,bll-bll,66.378,282.890,11.113,0.049,2.268,0.061,0.193,-0.414,0.001
4FGL J1219.8-2008,unid-bll,42.122,292.913,6.527,0.062,6.737,0.013,0.598,-0.139,0.004
4FGL J1219.8+6600,fsrq-fsrq,50.813,128.000,5.191,0.230,0.100,0.073,0.289,-0.622,0.006
4FGL J1219.9+6056,bcu-bll,55.776,129.729,10.787,0.099,0.100,0.254,-0.076,-0.650,0.006
4FGL J1220.1-5558,unid-bll,6.635,298.532,11.426,0.075,0.705,0.485,0.362,0.478,0.144
4FGL J1220.1+7105,fsrq-fsrq,45.816,126.557,77.174,0.017,0.293,17.321,0.230,-0.544,0.006
4FGL J1220.1+3432,bll-bll,80.011,163.145,21.226,0.035,1.913,0.269,0.200,-0.655,0.000
4FGL J1220.1-2458,unid-bll,37.357,294.014,8.596,0.050,0.100,0.051,-0.023,0.007,0.005
4FGL J1220.2-3713,bcu-bll,25.233,296.079,15.968,0.034,6.552,0.119,0.204,0.017,0.002
4FGL J1220.5-2745,unid-fsrq,34.609,294.635,7.576,0.137,0.100,1.001,0.244,-0.047,0.004
4FGL J1221.1+4742,bll-bll,68.579,136.975,5.083,0.047,103.981,0.029,0.448,-0.657,0.007
4FGL J1221.2+6910,bcu-bll,47.726,126.918,4.193,0.101,0.100,0.127,-0.100,-0.596,0.005
4FGL J1221.3+3010,bll-bll,82.741,186.417,90.584,0.012,963.368,213.905,0.059,-0.565,0.017
4FGL J1221.4-0634,msp,55.518,289.711,24.229,0.044,1.257,1.501,0.717,-0.220,1.000
4FGL J1221.5+2814,bll-fsrq,83.284,201.694,85.731,0.015,0.100,28.978,0.048,-0.569,0.008
4FGL J1221.9+3543,bll-bll,79.356,157.249,4.624,0.137,0.198,0.008,0.064,-0.681,0.006
4FGL J1222.0-4121,bcu-bll,21.171,297.026,5.647,0.082,3.315,0.020,0.928,0.058,0.003
4FGL J1222.5+0414,fsrq-fsrq,66.092,284.885,31.540,0.039,0.100,99.984,0.216,-0.387,0.006
4FGL J1223.0+1100,bcu-bll,72.555,279.111,10.655,0.067,7.150,0.117,0.765,-0.333,0.003
4FGL J1223.3+1213,bll-bll,73.714,277.731,7.099,0.197,0.100,0.496,0.141,-0.416,0.006
4FGL J1223.5+0818,bll-bll,70.048,282.310,10.046,0.071,11.056,0.038,0.119,-0.442,0.005
4FGL J1223.6-3032,bll-bll,31.948,295.883,11.107,0.032,1000.000,0.211,0.021,-0.036,0.006
4FGL J1223.8+4649,bll-bll,69.568,136.541,4.938,0.084,0.100,0.014,0.004,-0.672,0.006
4FGL J1223.8+8039,bll-bll,36.394,124.318,42.262,0.028,0.561,2.247,0.233,-0.105,0.001
4FGL J1223.9+7954,bll-bll,37.145,124.440,8.690,0.041,21.608,0.022,0.362,-0.065,0.004
4FGL J1223.9+5000,fsrq-fsrq,66.521,134.060,28.354,0.066,0.141,3.756,0.325,-0.642,0.003
4FGL J1223.9-2220,unid-fsrq,40.091,294.616,4.055,0.215,0.203,0.070,0.319,-0.056,0.006
4FGL J1223.9-0545,bcu-fsrq,56.453,290.508,4.418,0.145,0.131,0.133,0.271,-0.232,0.004
4FGL J1224.1+2239,bll-bll,82.365,247.307,7.710,0.069,1000.000,3.560,-0.100,-0.627,0.013
4FGL J1224.4+2436,bll-bll,83.434,233.940,37.965,0.019,7.176,1.843,0.126,-0.579,0.009
4FGL J1224.6-6408,psr,-1.418,300.015,4.711,0.088,1.577,0.279,0.832,1.130,0.996
4FGL J1224.6+7011,unid-fsrq,46.760,126.233,6.745,0.107,0.100,3.273,-0.095,-0.550,0.005
4FGL J1224.7-8313,bcu-fsrq,-20.397,302.096,19.842,0.068,0.100,13.223,0.186,0.226,0.005
4FGL J1224.9+2122,fsrq-fsrq,81.662,255.068,205.533,0.009,0.100,3668.998,0.098,-0.588,0.011
4FGL J1224.9+4334,bll-fsrq,72.709,139.260,23.599,0.055,0.100,1.815,0.093,-0.676,0.002
4FGL J1225.0+0330,fsrq-fsrq,65.551,286.821,15.313,0.090,0.724,0.669,0.782,-0.379,0.006
4FGL J1225.3-3446,bcu-bll,27.785,296.890,7.215,0.053,0.100,0.027,0.005,-0.068,0.005
4FGL J1225.5-2851,bcu-fsrq,33.667,296.125,6.501,0.085,0.807,0.123,0.650,-0.045,0.004
4FGL J1225.6-7313,bcu-bll,-10.455,301.043,11.462,0.053,0.302,0.161,0.071,0.504,0.002
4FGL J1225.6-4937,bcu-fsrq,13.040,298.651,10.728,0.095,0.240,1.721,0.493,0.321,0.001
4FGL J1225.8-2941,bcu-bll,32.846,296.319,4.497,0.098,0.152,0.049,0.157,-0.011,0.004
4FGL J1225.9+2951,unid-pulsar,83.773,185.427,38.849,0.027,2.030,3.998,0.796,-0.590,0.997
4FGL J1226.0+5622,bll-bll,60.410,130.047,4.899,0.090,1.757,0.007,0.568,-0.703,0.007
4FGL J1226.5+3023,unid-bll,83.651,180.621,4.318,0.072,0.870,0.011,0.144,-0.609,0.005
4FGL J1226.7+0637,bll-bll,68.677,285.848,10.099,0.040,16.803,0.075,0.363,-0.419,0.005
4FGL J1226.8-1329,bll-bll,48.943,293.820,19.967,0.024,3.884,0.559,0.173,-0.076,0.001
4FGL J1226.9+6405,rdg-bll,52.823,127.361,4.985,0.144,0.100,0.168,0.197,-0.576,0.006
4FGL J1227.1-4437,bll-bll,18.030,298.390,6.916,0.038,23.234,0.021,0.145,0.090,0.007
4FGL J1227.8-7004,unid-pulsar,-7.299,300.911,4.583,0.209,0.480,0.293,1.059,0.409,0.588
4FGL J1227.8+6053,bcu-bll,56.010,128.051,4.279,0.088,0.100,0.059,-0.100,-0.674,0.005
4FGL J1228.0-6918,unid-bll,-6.535,300.853,4.525,0.069,0.223,0.103,0.229,0.290,0.004
4FGL J1228.0-4853,msp,13.807,298.975,52.749,0.022,0.890,14.240,0.485,0.219,0.016
4FGL J1228.0+5039,unid-bll,66.053,132.067,4.988,0.198,1.092,0.030,1.724,-0.644,0.246
4FGL J1228.3+7521,bcu-bll,41.688,124.885,7.893,0.067,0.412,0.013,0.071,-0.386,0.005
4FGL J1228.7+4858,fsrq-fsrq,67.708,132.792,17.616,0.055,0.204,0.837,0.322,-0.653,0.002
4FGL J1228.7-0318,bcu-bll,59.069,291.875,12.866,0.066,1.759,0.128,0.148,-0.190,0.001
4FGL J1229.0+0202,fsrq-fsrq,64.351,289.931,135.400,0.015,0.100,4873.767,0.191,-0.315,0.012
4FGL J1229.1+5521,bcu-bll,61.489,129.561,6.159,0.161,0.100,0.253,0.128,-0.702,0.006
4FGL J1229.5-3048,unid-fsrq,31.827,297.395,4.823,0.152,0.248,0.073,0.318,-0.011,0.005
4FGL J1229.7-3259,unid-bll,29.663,297.704,4.131,0.073,0.628,0.013,0.212,-0.010,0.005
4FGL J1229.7-5304,bll-bll,9.663,299.634,15.121,0.046,0.100,0.410,-0.011,0.299,0.006
4FGL J1230.2+2517,bll-fsrq,84.906,232.797,110.657,0.014,0.682,33.854,0.112,-0.623,0.007
4FGL J1230.7-3556,unid-bll,26.737,298.234,4.044,0.054,0.100,0.110,-0.100,-0.078,0.005
