4FGL-DR4,source_type,glat,glon,significance,r95,Ep,Fp,d,diffuse,p_pulsar
4FGL J0014.1-5022,bll-bll,-65.695,317.453,13.949,0.061,0.100,0.139,-0.001,-0.599,0.005
4FGL J0014.2+0854,bll-bll,-52.852,107.619,5.967,0.087,0.100,0.491,-0.024,0.070,0.006
4FGL J0014.3-0500,bcu-fsrq,-66.182,99.509,14.114,0.053,0.100,0.803,0.101,-0.447,0.006
4FGL J0014.7+5801,bll-bll,-4.498,118.075,11.777,0.041,30.467,0.209,0.366,0.622,0.008
4FGL J0014.8+6118,bcu-bll,-1.257,118.557,19.225,0.037,5.067,0.866,0.294,0.895,0.019
4FGL J0014.9+3212,bcu-fsrq,-30.022,114.010,16.589,0.169,0.193,1.449,0.418,-0.249,0.001
4FGL J0015.2+3537,bll-bll,-26.678,114.718,6.990,0.059,1000.000,0.063,-0.097,-0.241,0.006
4FGL J0015.6+5551,bll-bll,-6.657,117.888,16.471,0.032,1000.000,1.103,-0.027,0.473,0.007
4FGL J0015.9+2440,bll-bll,-37.490,112.764,12.199,0.049,0.100,0.140,-0.022,-0.341,0.005
4FGL J0016.2-0016,fsrq-fsrq,-61.853,104.012,19.940,0.065,0.100,10.278,0.372,-0.484,0.003
4FGL J0016.5+1702,fsrq-fsrq,-45.030,111.097,4.991,0.256,0.100,0.580,0.283,-0.204,0.005
4FGL J0017.0-0649,bcu-bll,-68.123,99.462,20.323,0.059,0.145,0.529,0.106,-0.419,0.004
4FGL J0017.1-4605,unid-fsrq,-69.865,320.389,7.176,0.138,0.100,1.768,0.064,-0.648,0.002
4FGL J0017.4+6506,unid-bll,2.474,119.367,5.524,0.051,4.061,0.045,0.228,1.095,0.002
4FGL J0017.5-0514,fsrq-fsrq,-66.668,101.210,28.707,0.047,0.100,9.440,0.230,-0.459,0.006
4FGL J0017.8+1455,bll-bll,-47.168,110.965,10.465,0.109,0.554,0.078,0.169,-0.327,0.004
4FGL J0018.4+2946,bll-bll,-32.548,114.441,15.602,0.037,50.710,0.246,0.164,-0.314,0.010
4FGL J0018.8+5112,unid-bll,-11.335,117.740,5.247,0.454,0.100,0.106,0.063,0.099,0.005
4FGL J0018.8+2611,fsrq-fsrq,-36.109,113.883,7.910,0.287,0.171,0.317,0.612,-0.355,0.001
4FGL J0019.2-5640,bcu-fsrq,-59.891,311.751,14.666,0.074,0.100,0.185,0.062,-0.530,0.008
4FGL J0019.3-8152,bll-bll,-35.162,304.314,22.790,0.035,0.100,0.580,0.017,0.064,0.006
4FGL J0019.6+7327,fsrq-fsrq,10.726,120.633,18.718,0.032,0.100,18.495,0.208,0.384,0.007
4FGL J0019.6+2022,bll-bll,-41.876,112.901,14.485,0.054,0.240,0.165,0.078,-0.276,0.002
4FGL J0021.0+0322,bll-bll,-58.623,108.237,8.118,0.047,10.536,0.032,0.275,-0.433,0.004
4FGL J0021.5-2221,bcu-fsrq,-81.706,66.407,4.586,0.191,0.180,0.120,0.536,-0.614,0.002
4FGL J0021.5-2552,bll-bll,-83.200,41.926,29.602,0.028,0.680,0.662,0.110,-0.648,0.001
4FGL J0021.6-0855,bll-bll,-70.475,100.403,7.882,0.192,1.616,0.032,0.543,-0.449,0.003
4FGL J0021.7+4533,unid-bll,-16.996,117.505,4.177,0.084,0.975,0.016,0.484,-0.104,0.004
4FGL J0021.9-5140,bll-bll,-64.835,313.701,27.131,0.029,2.481,0.379,0.078,-0.606,0.001
4FGL J0022.0+0006,bll-bll,-61.858,107.207,9.647,0.043,1000.000,6.857,-0.100,-0.459,0.016
4FGL J0022.0-5921,unid-fsrq,-57.381,309.870,12.374,0.112,0.100,1.404,0.023,-0.619,0.003
4FGL J0022.1-1854,bll-bll,-79.374,82.083,32.228,0.022,4.493,0.854,0.174,-0.541,0.005
4FGL J0022.5+0608,bll-bll,-56.011,110.012,61.903,0.022,0.377,10.958,0.101,-0.407,0.004
4FGL J0023.4+0920,msp,-52.897,111.420,31.199,0.043,1.130,3.395,0.827,-0.119,1.000
4FGL J0023.6-4209,unid-bll,-73.933,321.850,4.417,0.145,0.100,0.026,-0.070,-0.631,0.006
4FGL J0023.7-6820,fsrq-fsrq,-48.582,306.789,14.540,0.079,0.100,5.531,0.267,-0.415,0.002
4FGL J0023.7+4457,fsrq-fsrq,-17.645,117.804,24.017,0.073,0.183,2.693,0.249,-0.174,0.002
4FGL J0023.9+1603,bll-bll,-46.295,113.345,9.319,0.061,2.189,0.058,0.239,-0.255,0.001
4FGL J0024.0-7204,glc-pulsar,-44.891,305.902,106.730,0.015,1.409,56.664,0.715,-0.328,0.995
4FGL J0024.1+2402,unid-bll,-38.413,114.975,10.413,0.060,0.100,0.078,0.001,-0.367,0.005
4FGL J0024.1+7909,unid-bll,16.355,121.600,7.060,0.035,3.336,0.012,0.138,0.173,0.005
4FGL J0024.4+4647,bcu-fsrq,-15.824,118.143,4.115,0.144,0.100,1.590,-0.089,-0.071,0.005
4FGL J0024.7+0349,fsrq-fsrq,-58.378,110.178,5.278,0.072,0.100,0.141,0.142,-0.454,0.009
4FGL J0025.3+6408,snr-fsrq,1.422,120.094,17.046,0.052,0.100,2.657,0.042,1.026,0.002
4FGL J0025.4-4838,unid-fsrq,-67.908,314.391,7.417,0.079,0.100,1.547,-0.100,-0.620,0.004
4FGL J0025.5-5936,unid-bll,-57.218,308.988,6.109,0.302,0.100,0.326,0.096,-0.624,0.006
4FGL J0025.7-4801,bcu-bll,-68.517,314.724,13.456,0.055,1.696,0.107,0.488,-0.628,0.002
4FGL J0026.1-0732,unid-bll,-69.518,104.762,9.666,0.049,10.160,0.028,0.177,-0.430,0.004
