4FGL-v30,source_type,glat,glon,variability,significance,class1,association,flags,r95,trainer,Ep,Fp,d,diffuse,Ep_unc,d_unc,p_pulsar
4FGL J1309.4+4305,bll-bll,73.630,111.193,37.283,53.931,bll,bll,{},0.016,bll,5.365,3.866,0.173,,1.167,0.037,0.000
4FGL J1309.4-7915,unID-bll,-16.411,303.808,13.089,5.523,,unID,"{1,3}",0.092,,6.021,0.017,0.268,,5.626,0.369,0.000
4FGL J1309.6+3718,unID-bll,79.116,103.362,6.502,5.503,bcu,unID,{},0.052,,1000.000,0.100,-0.046,,,0.134,0.000
4FGL J1309.7+1153,bll-bll,74.174,319.574,10.892,18.131,bll,bll,{},0.043,bll,0.328,0.490,0.119,,0.461,0.084,0.000
4FGL J1310.1-0450,unID-bll,57.709,311.692,19.729,4.336,bcu,unID,{},0.146,,0.100,0.390,-0.017,,,0.226,0.000
4FGL J1310.2-1158,bll-bll,50.632,310.213,9.265,16.215,bll,bll,{},0.032,bll,2.562,0.165,0.057,,3.791,0.079,0.000
4FGL J1310.5+3221,fsrq-fsrq,83.332,85.680,897.967,39.538,fsrq,fsrq,{},0.018,fsrq,0.112,72.697,0.135,,0.051,0.025,0.000
4FGL J1310.6+2449,bll-bll,85.118,5.946,13.813,12.845,bll,bll,{},0.042,bll,1000.000,0.184,-0.032,,,0.102,0.000
4FGL J1310.7-5553,unID-fsrq,6.883,305.655,75.725,6.339,bcu,unID,{},0.124,,0.580,0.686,1.190,,0.243,0.656,0.080
4FGL J1310.9+5514,fsrq-fsrq,61.657,117.082,21.629,13.072,fsrq,fsrq,{},0.059,fsrq,0.100,0.803,0.046,,,0.097,0.000
4FGL J1311.0+0034,bll-bll,63.027,313.767,16.325,12.541,bll,bll,{},0.045,bll,0.100,0.381,-0.038,,,0.075,0.000
4FGL J1311.0+3233,fsrq-fsrq,83.108,86.063,88.063,11.263,fsrq,fsrq,{5},0.044,fsrq,1.298,1.187,0.515,,0.530,0.207,0.130
4FGL J1311.7-6617,unID-bll,-3.506,304.970,9.032,5.135,,unID,"{4,6}",0.094,,0.130,0.484,0.173,,0.748,0.366,0.220
4FGL J1311.7-3430,msp,28.174,307.688,14.034,115.771,MSP,msp,{},0.013,pulsar,0.764,227.962,0.411,,0.045,0.029,0.970
4FGL J1311.8+3954,bll-bll,76.545,105.889,8.773,6.168,bll,bll,{},0.066,bll,3.458,0.005,0.057,,11.517,0.167,0.000
4FGL J1312.3-6257,unID-fsrq,-0.186,305.309,21.562,9.876,,unID,"{2,5,14}",0.098,,0.100,24.359,0.174,,0.213,0.116,0.240
4FGL J1312.4-2156,bll-bll,40.671,309.359,289.972,46.668,bll,bll,{},0.021,bll,2.198,7.595,0.264,,0.312,0.049,0.000
4FGL J1312.6-6231,unID-pulsar,0.243,305.372,6.717,10.414,,unID,"{2,6,14}",0.101,,1.954,5.924,1.024,,0.601,0.504,1.000
4FGL J1312.6-1900,unID-bll,43.570,309.854,14.554,5.745,bcu,unID,{},0.072,,1000.000,0.033,0.008,,,0.125,0.000
4FGL J1312.6+4828,unID-bll,68.263,113.396,3892.969,65.347,bcu,unID,{},0.015,,0.462,7.886,0.120,,0.185,0.031,0.000
4FGL J1312.7+0050,msp,63.220,314.828,10.988,45.065,MSP,msp,{},0.024,pulsar,1.276,17.535,1.001,,0.075,0.106,1.000
4FGL J1312.8-2350,bll-bll,38.766,309.205,10.765,19.582,bll,bll,{},0.023,bll,17.677,0.671,0.183,,10.873,0.093,0.000
4FGL J1312.8-0425,fsrq-fsrq,58.030,313.058,544.131,41.610,fsrq,fsrq,{},0.037,fsrq,0.420,11.675,0.366,,0.094,0.067,0.000
4FGL J1313.2-4437,unID-bll,18.075,307.012,6.508,4.125,,unID,{},0.101,,6.002,0.008,0.164,,9.625,0.275,0.000
4FGL J1314.1+6854,unID-bll,48.081,119.872,7.544,4.054,,unID,{},0.051,,1000.000,0.312,-0.044,,,0.194,0.000
4FGL J1314.7-0901,unID-bll,53.401,312.613,21.205,5.422,bcu,unID,{},0.064,,13.952,0.020,0.350,,11.162,0.311,0.000
4FGL J1314.7+2348,bll-bll,83.782,1.995,37.453,42.985,bll,bll,{},0.022,bll,2.069,2.237,0.159,,0.521,0.047,0.000
4FGL J1315.0-4236,bll-bll,20.048,307.558,16.414,16.184,bll,bll,{},0.022,bll,319.639,0.731,0.072,,1382.770,0.092,0.000
4FGL J1315.1-5333,bll-bll,9.142,306.500,277.107,27.782,bll,bll,{},0.038,bll,0.385,12.086,0.293,,0.161,0.074,0.000
4FGL J1315.4+8453,unID-bll,32.212,122.300,12.287,5.653,bcu,unID,{},0.136,,0.100,0.130,0.147,,0.302,0.259,0.030
4FGL J1315.5+1135,bll-bll,73.464,324.133,14.010,11.231,bll,bll,{},0.050,bll,9.681,0.103,0.320,,4.745,0.190,0.000
4FGL J1315.7-6220,unID-pulsar,0.393,305.747,11.326,5.239,,unID,"{1,4,5,6,14}",0.118,,0.320,11.417,0.542,,0.239,0.231,0.590
4FGL J1315.9-0732,bll-bll,54.821,313.515,70.690,17.926,bll,bll,{},0.027,bll,4.824,0.351,0.299,,1.477,0.111,0.000
4FGL J1315.9-6349,unID-fsrq,-1.086,305.633,27.718,5.236,bcu,unID,{6},0.094,,0.100,17.868,-0.017,,,0.115,0.040
4FGL J1315.9-6243,unID-pulsar,0.014,305.742,4.157,8.821,,unID,"{1,2,5,14}",0.103,,0.599,9.653,0.485,,0.454,0.221,0.930
4FGL J1316.1-3338,fsrq-fsrq,28.954,308.798,677.634,48.359,fsrq,fsrq,{},0.019,fsrq,0.102,25.707,0.123,,0.086,0.037,0.000
4FGL J1316.5+3013,unID-bll,83.677,63.741,5.959,4.445,bcu,unID,{},0.074,,5.073,0.009,1.327,,1.933,1.790,0.040
4FGL J1317.1+6613,unID-fsrq,50.702,118.848,11.338,4.646,bcu,unID,{},0.092,,0.100,0.177,-0.086,,,0.132,0.000
4FGL J1317.5-0153,unID-pulsar,60.304,316.168,3.953,9.379,,unID,{},0.129,,1.494,0.156,1.454,,0.251,0.628,0.700
4FGL J1317.5-6316,unID-pulsar,-0.555,305.859,12.004,20.385,,unID,{14},0.046,,1.516,28.404,1.189,,0.203,0.257,1.000
4FGL J1317.6+3428,fsrq-fsrq,80.762,87.125,142.310,19.023,fsrq,fsrq,{},0.067,fsrq,0.100,2.072,0.132,,0.064,0.094,0.000
4FGL J1317.6+7450,unID-bll,42.172,120.624,12.013,6.744,bcu,unID,{},0.082,,1.866,0.012,0.401,,1.140,0.356,0.000
4FGL J1317.8-5358,unID-fsrq,8.693,306.848,15.627,4.066,,unID,"{5,6}",0.099,,0.100,2.748,0.024,,,0.175,0.000
4FGL J1318.1-3937,unID-fsrq,22.950,308.507,27.750,4.654,,unID,{},0.191,,0.100,1.415,-0.046,,,0.188,0.000
4FGL J1318.1-1740,unID-bll,44.728,311.904,15.227,6.813,bcu,unID,{},0.121,,1.290,0.064,0.431,,0.674,0.262,0.000
4FGL J1318.2+6754,unID-fsrq,49.013,119.099,88.069,11.212,bcu,unID,{},0.071,,1.772,0.030,0.391,,0.796,0.215,0.000
4FGL J1318.3-1148,unID-bll,50.518,313.339,17.663,5.856,,unID,{9},0.221,,3.179,0.021,0.145,,4.292,0.190,0.000
4FGL J1318.5-6352,unID-bll,-1.157,305.909,7.404,4.640,,unID,{5},0.087,,10.117,0.142,0.449,,6.141,0.393,0.000
4FGL J1318.7-1234,unID-bll,49.740,313.285,18.835,18.580,bcu,unID,{},0.039,,1.412,0.418,0.185,,0.723,0.091,0.010
4FGL J1318.9-4556,unID-bll,16.659,307.925,8.947,5.341,,unID,"{3,5}",0.063,,0.100,1.333,-0.015,,,0.140,0.000
4FGL J1319.5-0045,unID-fsrq,61.305,317.672,51.715,10.606,bcu,unID,{},0.051,,0.100,0.660,0.086,,0.084,0.150,0.000
4FGL J1319.5+1404,bll-bll,75.384,331.033,22.932,10.583,bll,bll,{},0.055,bll,5.854,0.060,0.276,,3.134,0.264,0.000
4FGL J1319.8+7759,bll-bll,39.035,121.032,35.319,19.810,bll,bll,{},0.037,bll,0.100,0.168,-0.016,,,0.058,0.000
4FGL J1320.3-6410,unID-pulsar,-1.477,306.076,18.016,6.968,,unID,"{3,4,6,14}",0.135,,1.123,2.194,1.429,,0.302,0.575,0.990
4FGL J1320.7+3314,fsrq-fsrq,81.206,78.698,49.920,7.163,fsrq,fsrq,{},0.115,fsrq,0.261,0.121,0.403,,0.378,0.360,0.000
4FGL J1321.1-6239,unID-pulsar,0.016,306.336,10.110,8.203,,unID,"{1,14}",0.139,,0.758,5.668,0.528,,0.505,0.240,0.950
4FGL J1321.1+2216,fsrq-fsrq,81.688,358.875,366.490,56.023,fsrq,fsrq,{},0.024,fsrq,0.100,24.487,0.139,,0.069,0.038,0.000
4FGL J1321.3-2641,fsrq-fsrq,35.694,311.157,10.875,6.042,fsrq,fsrq,{},0.089,fsrq,0.100,1.228,-0.100,,,0.098,0.000
4FGL J1321.9+3219,bll-bll,81.586,72.951,36.768,8.041,bll,bll,{2},0.249,bll,0.100,0.051,0.036,,0.449,0.123,0.000
4FGL J1322.0+8317,fsrq-fsrq,33.780,121.860,109.109,10.205,fsrq,fsrq,{},0.056,fsrq,0.412,0.110,0.265,,0.480,0.187,0.020
4FGL J1322.0-4624,unID-bll,16.131,308.417,12.006,5.282,,unID,{},0.069,,2.750,0.044,0.945,,1.028,0.622,0.200
4FGL J1322.2+0842,fsrq-fsrq,70.191,325.910,34.532,11.104,fsrq,fsrq,{},0.054,fsrq,1.417,0.088,0.193,,1.163,0.145,0.000
4FGL J1322.3-0606,unID-bll,55.935,316.741,10.554,11.316,bcu,unID,{},0.054,,3.285,0.119,0.636,,0.841,0.243,0.040
4FGL J1322.6-0936,fsrq-fsrq,52.493,315.635,429.524,22.767,fsrq,fsrq,{},0.040,fsrq,0.115,7.172,0.327,,0.071,0.104,0.000
4FGL J1322.6-1418,unID-bll,47.876,314.251,7.212,4.574,bcu,unID,{},0.079,,3.010,0.012,0.244,,2.962,0.263,0.000
4FGL J1322.6-1617,unID-bll,45.924,313.745,13.143,7.876,bcu,unID,{},0.054,,3.557,0.040,0.341,,2.039,0.268,0.000
4FGL J1322.9+0437,bll-bll,66.280,322.785,14.168,8.471,bll,bll,{},0.057,bll,6.347,0.063,1.081,,1.627,0.598,0.000
4FGL J1323.0+2941,unID-bll,82.596,54.994,16.506,41.580,bcu,unID,{},0.019,,0.284,3.694,0.103,,0.222,0.039,0.010
4FGL J1323.9+1405,bll-bll,74.919,334.691,27.919,19.544,bll,bll,{},0.029,bll,8.605,0.429,0.267,,3.202,0.111,0.000
4FGL J1324.5-2338,unID-bll,38.607,312.654,16.668,5.200,,unID,{},0.040,,1000.000,0.280,-0.100,,,0.090,0.000
4FGL J1324.6-2525,unID-bll,36.847,312.303,8.989,4.400,,unID,{},0.072,,0.100,0.073,-0.100,,,0.191,0.000
4FGL J1324.9+4748,fsrq-fsrq,68.308,107.576,100.889,13.177,fsrq,fsrq,{2},0.155,fsrq,0.100,2.667,0.104,,0.008,0.114,0.000
4FGL J1325.3+6621,bll-bll,50.418,117.605,8.404,4.139,bll,bll,{},0.070,bll,0.100,0.013,-0.086,,,0.157,0.000
4FGL J1325.3-5413,unID-pulsar,8.309,307.933,9.645,12.187,,unID,{},0.053,,0.589,1.486,0.600,,0.247,0.222,0.950
4FGL J1325.5-4300,rdg-fsrq,19.418,309.529,33.403,73.535,RDG,rdg,{10},0.017,,0.100,1749.145,-0.077,,,0.016,0.050
4FGL J1325.6-0227,bll-bll,59.288,319.850,11.862,6.907,bll,bll,{},0.086,bll,5.337,0.036,0.745,,1.944,0.402,0.000
4FGL J1326.0+3507,unID-bll,79.119,82.315,87.569,13.529,,unID,{2},0.090,,1.287,0.081,0.303,,0.582,0.145,0.000
4FGL J1326.1-6800,unID-pulsar,-5.349,306.185,11.182,5.846,bcu,unID,{4},0.237,,0.458,1.061,1.388,,0.158,0.616,0.780
4FGL J1326.1+2933,bll-bll,81.989,52.574,16.178,6.623,bll,bll,{},0.055,bll,0.100,0.041,0.005,,,0.157,0.000
4FGL J1326.1+1232,bll-bll,73.289,333.789,9.974,5.320,bll,bll,{},0.065,bll,8.237,0.019,0.834,,3.605,0.701,0.010
4FGL J1326.2+4115,bll-bll,74.163,98.309,3.439,6.311,bll,bll,{},0.141,bll,0.100,0.292,-0.039,,,0.228,0.000
4FGL J1326.6+0152,unID-bll,63.380,322.885,21.234,4.832,bcu,unID,{},0.088,,19.639,0.011,0.202,,40.337,0.345,0.000
4FGL J1326.6-4729,glc-pulsar,14.958,309.078,8.955,27.747,glc,glc,{},0.028,,1.392,10.017,1.022,,0.104,0.132,1.000
4FGL J1326.7-0503,fsrq-fsrq,56.694,319.118,8.200,4.783,fsrq,fsrq,{},0.056,fsrq,86.620,0.017,0.188,,265.919,0.312,0.000
4FGL J1326.8-5256,bll-bll,9.562,308.334,396.278,41.342,bll,bll,{},0.021,bll,0.505,18.086,0.250,,0.148,0.051,0.000
4FGL J1326.9+2210,fsrq-fsrq,80.542,3.269,209.837,39.896,fsrq,fsrq,{},0.029,fsrq,0.164,13.265,0.278,,0.071,0.063,0.000
4FGL J1327.0+3154,unID-bll,80.901,66.692,16.227,4.222,bcu,unID,{},0.122,,0.100,0.060,-0.082,,,0.151,0.000
4FGL J1327.8+2522,bll-bll,81.661,22.890,13.190,4.486,bll,bll,{},0.124,bll,19.154,0.014,0.427,,16.253,0.451,0.000
4FGL J1328.4-6231,unID-pulsar,0.045,307.189,3.829,7.007,,unID,"{1,2,5,14}",0.165,,0.306,20.806,0.797,,0.137,0.293,0.850
4FGL J1328.5-4727,bll-bll,14.943,309.407,18.191,18.586,bll,bll,{},0.023,bll,10.366,0.714,0.124,,7.110,0.092,0.000
4FGL J1328.6+1145,bll-bll,72.323,334.360,11.895,7.199,bll,bll,{},0.072,bll,27.859,0.129,1.503,,9.215,1.503,0.000
4FGL J1329.0-5607,bll-bll,6.368,308.193,1066.732,54.571,bll,bll,{},0.017,bll,0.228,108.659,0.261,,0.064,0.039,0.000
4FGL J1329.4-0530,unID-pulsar,56.093,320.086,9.074,11.516,bcu,unID,{},0.063,,1.512,0.326,1.118,,0.314,0.413,0.900
4FGL J1329.9-6108,unID-pulsar,1.384,307.564,16.644,25.977,,unID,{},0.034,,1.782,12.492,0.746,,0.240,0.147,0.980
4FGL J1330.2-7003,unID-fsrq,-7.438,306.255,1092.977,34.688,bcu,unID,{},0.023,,0.396,13.765,0.363,,0.097,0.064,0.000
4FGL J1330.2+7002,bll-bll,46.722,118.113,32.792,19.578,bll,bll,{},0.034,bll,10.394,0.118,0.155,,6.474,0.092,0.000
4FGL J1330.3+4441,bll-bll,70.790,101.536,12.139,15.811,bll,bll,{},0.050,bll,2.847,0.106,0.339,,0.961,0.175,0.000
4FGL J1330.7+5200,unID-bll,64.043,109.052,29.778,16.113,bcu,unID,{},0.048,,0.100,0.758,0.093,,0.069,0.092,0.000
4FGL J1330.7+2933,unID-fsrq,81.015,50.887,77.122,7.916,bcu,unID,{},0.086,,0.672,0.116,1.094,,0.211,0.564,0.000
4FGL J1331.0+3032,css-bll,80.687,56.791,4.695,8.224,css,css,{},0.075,,0.100,0.185,0.165,,0.228,0.179,0.040
4FGL J1331.0+5653,bll-bll,59.410,112.300,12.247,9.240,bll,bll,{},0.052,bll,22.920,0.017,0.114,,58.467,0.364,0.000
4FGL J1331.2-1325,bll-bll,48.307,317.582,62.392,10.607,bll,bll,{5},0.087,bll,0.442,0.852,0.478,,0.314,0.270,0.000
4FGL J1331.3-3818,unID-bll,23.904,311.483,13.986,5.005,,unID,{},0.199,,2.582,0.023,0.311,,2.568,0.455,0.000
4FGL J1331.6+1711,bll-bll,76.395,348.041,21.001,12.796,bll,bll,{},0.050,bll,0.132,0.242,0.104,,0.376,0.107,0.000
4FGL J1331.7-0343,fsrq-fsrq,57.649,321.978,35.081,6.772,fsrq,fsrq,{3},0.313,fsrq,0.623,0.215,1.451,,0.243,0.771,0.000
4FGL J1331.7-0647,unID-bll,54.699,320.444,25.744,8.859,bcu,unID,{},0.116,,4.763,0.072,0.607,,1.508,0.306,0.000
4FGL J1332.0-0509,fsrq-fsrq,56.249,321.366,2709.052,53.522,fsrq,fsrq,{},0.020,fsrq,0.130,119.693,0.309,,0.029,0.038,0.000
4FGL J1332.2+4722,fsrq-fsrq,68.233,104.064,55.805,8.824,fsrq,fsrq,{},0.173,fsrq,0.165,0.211,0.294,,0.284,0.230,0.000
4FGL J1332.6-1256,fsrq-fsrq,48.701,318.234,858.348,53.750,fsrq,fsrq,{},0.020,fsrq,0.123,98.489,0.207,,0.055,0.039,0.000
4FGL J1333.0-6626,unID-fsrq,-3.903,307.082,19.908,5.959,bcu,unID,"{1,4}",0.122,,0.482,0.775,0.693,,0.272,0.326,0.400
4FGL J1333.2-4707,unID-fsrq,15.153,310.281,11.325,5.165,,unID,{3},0.093,,0.767,0.103,0.538,,0.761,0.640,0.120
4FGL J1333.2+2725,fsrq-fsrq,80.698,37.139,58.564,18.478,fsrq,fsrq,{},0.047,fsrq,0.100,0.970,0.065,,0.051,0.075,0.000
4FGL J1333.7+5056,fsrq-fsrq,64.873,107.120,379.966,36.672,fsrq,fsrq,{},0.034,fsrq,0.255,2.847,0.216,,0.117,0.057,0.000
4FGL J1334.1-4154,unID-bll,20.253,311.391,11.762,6.521,,unID,{5},0.089,,0.100,2.363,-0.100,,,0.085,0.000
4FGL J1334.1-3521,unID-bll,26.707,312.682,7.510,5.423,bcu,unID,{},0.068,,850.755,0.048,0.069,,9683.280,0.180,0.000
4FGL J1334.5+5634,fsrq-fsrq,59.563,111.198,14.224,6.226,fsrq,fsrq,{5},0.070,fsrq,0.100,0.192,-0.080,,,0.104,0.000
4FGL J1334.6-4435,unID-fsrq,17.603,310.973,5.722,7.190,,unID,{},0.082,,0.438,0.419,0.679,,0.319,0.471,0.320
4FGL J1334.8-3856,unID-bll,23.158,312.089,8.832,4.583,,unID,{9},0.254,,0.100,0.346,0.019,,,0.173,0.000
4FGL J1335.0-5656,msp,5.420,308.883,7.889,20.355,MSP,msp,{},0.037,pulsar,1.820,3.230,0.770,,0.280,0.181,0.990
4FGL J1335.3-2949,bll-bll,32.080,314.185,18.278,12.807,bll,bll,{},0.035,bll,4.459,0.093,0.066,,6.561,0.102,0.000
4FGL J1335.5-4546,unID-pulsar,16.414,310.924,7.676,5.025,,unID,{5},0.084,,1.252,0.078,0.730,,0.752,0.547,0.390
4FGL J1335.6+4759,unID-bll,67.431,103.393,25.354,4.452,,unID,{},0.088,,2.071,0.006,0.614,,1.411,0.594,0.010
4FGL J1335.6-4052,unID-fsrq,21.232,311.888,18.681,4.378,,unID,{3},0.062,,0.100,1.003,-0.100,,,0.089,0.000
4FGL J1336.2+2107,bll-bll,78.159,4.855,9.444,5.957,bll,bll,{},0.118,bll,0.100,0.028,0.003,,,0.133,0.000
4FGL J1336.2+2320,bll-bll,79.195,14.847,16.940,8.689,bll,bll,{},0.053,bll,4.271,0.032,0.409,,2.094,0.381,0.000
4FGL J1336.2+2053,unID-bll,78.017,3.932,9.274,4.613,bcu,unID,{},0.074,,9.100,0.030,1.733,,2.789,1.283,0.040
4FGL J1336.9-4611,unID-fsrq,15.950,311.094,10.296,5.240,,unID,{},0.097,,0.502,0.295,0.813,,0.246,0.397,0.230
4FGL J1337.4+5502,fsrq-fsrq,60.857,109.357,30.917,5.579,fsrq,fsrq,{},0.143,fsrq,0.100,0.633,0.041,,,0.201,0.000
4FGL J1337.5-7802,unID-bll,-15.394,305.392,3.782,8.696,bcu,unID,{3},0.063,,2.009,0.051,0.215,,2.106,0.197,0.010
4FGL J1337.6-1257,fsrq-fsrq,48.378,320.038,329.701,47.215,fsrq,fsrq,{},0.024,fsrq,0.237,25.609,0.235,,0.089,0.049,0.000
4FGL J1337.9-1956,unID-bll,41.597,317.609,29.141,4.540,bcu,unID,{},0.101,,0.100,0.420,0.046,,,0.173,0.000
4FGL J1338.0+6534,fsrq-fsrq,50.864,115.324,34.598,8.638,fsrq,fsrq,{},0.163,fsrq,0.100,0.578,0.279,,0.124,0.204,0.000
4FGL J1338.0-4159,unID-bll,20.041,312.134,26.527,6.517,,unID,{},0.048,,7.039,0.035,0.476,,3.518,0.397,0.000
4FGL J1338.4-5923,unID-pulsar,2.935,308.889,12.866,5.409,,unID,"{4,14}",0.112,,0.412,0.979,0.571,,0.336,0.328,0.510
4FGL J1338.8-4509,unID-bll,16.904,311.643,12.877,6.469,,unID,"{2,9}",0.064,,0.100,0.901,-0.077,,,0.099,0.000
4FGL J1338.9+1153,bll-bll,71.127,341.421,36.736,16.007,bll,bll,{},0.030,bll,5.887,0.147,0.024,,19.001,0.070,0.000
4FGL J1339.0-2400,unID-fsrq,37.590,316.680,69.087,22.856,bcu,unID,{},0.031,,0.309,1.441,0.154,,0.250,0.067,0.000
4FGL J1339.1-2620,fsrq-fsrq,35.316,316.066,42.047,9.020,fsrq,fsrq,{},0.082,fsrq,0.307,0.116,0.144,,0.609,0.134,0.000
4FGL J1339.9-0138,fsrq-fsrq,58.956,326.939,57.570,10.463,fsrq,fsrq,{},0.114,fsrq,0.968,0.250,1.143,,0.199,0.401,0.060
4FGL J1340.0-1501,unID-bll,46.223,320.035,11.835,6.371,bcu,unID,{3},0.038,,9.493,0.018,0.369,,6.628,0.427,0.000
4FGL J1340.1+3857,unID-fsrq,74.399,85.329,32.728,6.836,bcu,unID,{},0.297,,0.278,0.072,0.383,,0.297,0.279,0.010
4FGL J1340.4+6926,unID-fsrq,47.082,116.651,172.143,10.427,bcu,unID,{},0.104,,0.100,0.460,0.097,,0.030,0.132,0.000
4FGL J1340.5+4409,bll-bll,70.307,95.992,11.589,10.307,bll,bll,{},0.040,bll,63.635,0.067,0.156,,139.758,0.174,0.000
4FGL J1340.8-0409,bll-bll,56.511,325.690,23.313,11.475,bll,bll,{2},0.079,bll,2.602,0.123,0.342,,1.007,0.188,0.000
4FGL J1341.1+7433,unID-bll,42.135,118.506,17.860,4.981,bcu,unID,{},0.049,,14.970,0.002,0.160,,28.606,0.232,0.000
4FGL J1341.2+3958,bll-bll,73.517,87.283,12.437,12.603,bll,bll,{},0.056,bll,76.807,0.084,0.084,,258.436,0.122,0.000
4FGL J1341.6+5515,bll-bll,60.435,108.396,12.192,4.186,bll,bll,{},0.106,bll,3.661,0.004,0.503,,2.198,0.476,0.000
4FGL J1341.7-3907,unID-bll,22.717,313.481,16.726,5.786,bcu,unID,{},0.056,,19.879,0.018,0.187,,29.856,0.313,0.000
4FGL J1341.7-6216,psr,0.023,308.744,8.746,11.802,PSR,psr,{2},0.069,pulsar,0.276,18.614,0.195,,0.450,0.116,0.770
4FGL J1341.8-2053,fsrq-fsrq,40.456,318.470,123.351,9.989,fsrq,fsrq,{},0.099,fsrq,0.100,2.512,0.308,,0.097,0.169,0.000
4FGL J1342.0+1043,unID-bll,69.739,341.326,8.278,4.247,,unID,{},0.076,,2.462,0.008,0.346,,2.581,0.422,0.010
4FGL J1342.6-5730,unID-fsrq,4.688,309.787,5.612,4.647,,unID,{4},0.072,,0.358,0.268,0.327,,0.537,0.257,0.330
4FGL J1342.6+0944,fsrq-fsrq,68.818,340.151,17.881,10.386,fsrq,fsrq,{},0.081,fsrq,2.284,0.059,0.138,,2.280,0.128,0.000
4FGL J1342.7+0505,bll-bll,64.799,334.216,7.567,10.040,bll,bll,{},0.114,bll,0.100,0.139,0.039,,0.249,0.120,0.000
4FGL J1343.5-6827,unID-pulsar,-6.071,307.704,7.828,6.682,,unID,"{1,12}",0.189,,0.847,0.517,1.918,,,,0.770
4FGL J1343.6+5755,fsrq-fsrq,57.870,109.897,17.667,5.252,fsrq,fsrq,{},0.152,fsrq,0.100,0.139,0.030,,,0.182,0.000
4FGL J1343.8-6208,spp-pulsar,0.109,309.014,3.993,6.920,spp,spp,"{2,5,14}",0.125,,0.361,9.491,0.295,,0.502,0.166,0.640
4FGL J1344.0+6605,fsrq-fsrq,50.177,114.653,24.628,11.926,fsrq,fsrq,{},0.048,fsrq,0.122,0.185,0.179,,0.249,0.139,0.000
4FGL J1344.1-7700,unID-fsrq,-14.453,305.964,4.775,6.821,bcu,unID,{2},0.180,,0.261,0.303,0.349,,0.329,0.306,0.140
4FGL J1344.2-1723,fsrq-fsrq,43.669,320.465,520.566,39.022,fsrq,fsrq,{},0.022,fsrq,0.668,6.943,0.270,,0.145,0.053,0.000
4FGL J1344.2-6517,unID-fsrq,-2.989,308.422,9.200,4.324,,unID,{},0.063,,0.694,0.187,0.405,,0.908,0.334,0.140
4FGL J1344.4-3656,unID-bll,24.735,314.582,10.003,11.911,bcu,unID,{},0.057,,0.100,0.411,0.008,,,0.086,0.020
4FGL J1344.9-6228,spp-pulsar,-0.246,309.074,13.993,12.061,spp,spp,"{2,5,14}",0.081,,0.877,28.770,0.666,,0.509,0.275,1.000
4FGL J1345.3-6253,spp-pulsar,-0.653,309.027,12.330,7.033,spp,spp,"{3,5,14}",0.088,,0.982,6.056,0.837,,0.658,0.456,0.980
4FGL J1345.5+4453,fsrq-fsrq,69.204,95.089,5241.823,177.454,fsrq,fsrq,{9},0.010,fsrq,0.202,597.123,0.180,,0.023,0.012,0.000
4FGL J1345.6-3356,bll-bll,27.590,315.599,69.275,15.012,bll,bll,{},0.032,bll,0.100,0.278,0.004,,,0.065,0.000
4FGL J1345.7-4703,unID-fsrq,14.809,312.464,15.003,5.604,,unID,{1},0.183,,0.579,0.373,1.757,,0.151,0.764,0.380
4FGL J1345.8+0706,fsrq-fsrq,66.175,338.233,231.482,21.247,fsrq,fsrq,{},0.044,fsrq,0.100,5.001,0.101,,0.037,0.068,0.000
4FGL J1345.9-2612,unID-pulsar,35.072,317.894,25.962,14.844,,unID,{12},0.063,,1.601,0.691,2.000,,,,0.680
4FGL J1346.1-5121,glc-fsrq,10.591,311.573,9.282,4.883,glc,glc,{},0.075,,0.462,0.094,0.280,,0.758,0.304,0.090
4FGL J1346.3-6026,rdg-pulsar,1.706,309.659,7.793,23.588,rdg,rdg,{},0.036,,0.629,14.982,0.261,,0.341,0.086,0.520
4FGL J1346.3+7227,unID-bll,44.052,117.217,17.591,4.836,bcu,unID,{},0.090,,2.113,0.005,0.458,,1.444,0.430,0.000
4FGL J1346.5+5330,unID-fsrq,61.722,105.520,23.022,10.301,,unID,{},0.116,,0.100,1.357,0.218,,0.045,0.153,0.000
4FGL J1347.1-2959,bll-bll,31.356,317.055,10.356,16.827,bll,bll,{},0.037,bll,5.666,0.245,0.178,,2.877,0.099,0.000
4FGL J1347.4+7309,unID-fsrq,43.367,117.399,14.368,4.270,bcu,unID,{},0.253,,0.100,0.290,0.158,,0.036,0.233,0.000
4FGL J1347.6-3751,fsrq-fsrq,23.686,315.016,68.563,17.884,fsrq,fsrq,{},0.048,fsrq,0.567,0.990,0.349,,0.226,0.118,0.000
4FGL J1348.5-8700,unID-fsrq,-24.231,303.739,18.540,5.255,,unID,"{1,2}",0.089,,0.100,3.880,0.071,,,0.308,0.000
4FGL J1348.9+0756,bll-bll,66.468,340.977,15.012,8.310,bll,bll,{},0.042,bll,1000.000,0.038,-0.025,,,0.102,0.000
4FGL J1349.1-5829,unID-fsrq,3.540,310.427,5.473,6.999,,unID,"{4,14}",0.093,,0.175,1.818,0.295,,0.258,0.208,0.130
4FGL J1349.5-7153,unID-fsrq,-9.525,307.465,5.645,6.911,bcu,unID,{},0.077,,0.100,0.953,-0.066,,,0.086,0.000
4FGL J1349.5-1131,fsrq-fsrq,48.862,324.871,535.042,25.911,fsrq,fsrq,{},0.044,fsrq,0.144,7.125,0.251,,0.103,0.087,0.000
