4FGL-v30,source_type,glat,glon,variability,significance,class1,association,flags,r95,trainer,Ep,Fp,d,diffuse,Ep_unc,d_unc,p_pulsar
4FGL J1746.4-2852,pwn-pulsar,-0.116,0.150,16.401,24.097,pwn,pwn,"{2,3,5,9}",0.031,,1.544,1418.438,0.893,,0.230,0.140,0.980
4FGL J1746.4-3541,unID-pulsar,-3.661,354.321,4.066,4.179,,unID,"{3,4,5,14}",0.092,,0.623,1.072,0.855,,0.381,0.544,0.910
4FGL J1746.5-2019,unID-pulsar,4.295,7.470,16.517,8.536,,unID,"{5,14}",0.110,,0.560,3.642,0.639,,0.250,0.256,0.900
4FGL J1746.8-5235,unID-fsrq,-12.232,339.599,237.659,13.733,bcu,unID,{},0.059,,0.381,2.141,0.464,,0.156,0.139,0.000
4FGL J1746.8-3239,psr,-2.169,356.955,4.232,42.064,PSR,psr,{},0.021,pulsar,1.221,286.482,0.938,,0.082,0.089,1.000
4FGL J1747.0-3505,unID-pulsar,-3.463,354.889,10.908,10.144,,unID,{14},0.066,,0.651,4.368,0.629,,0.259,0.231,0.980
4FGL J1747.1-5453,unID-fsrq,-13.376,337.544,34.954,8.389,bcu,unID,{},0.060,,0.100,0.925,0.051,,0.006,0.110,0.000
4FGL J1747.2+4937,bll-bll,30.455,76.706,19.434,6.052,bll,bll,{},0.084,bll,11.345,0.012,0.262,,10.346,0.374,0.000
4FGL J1747.2-2957,psr,-0.845,359.310,19.224,34.922,PSR,psr,{},0.017,pulsar,0.632,3190.611,0.684,,0.072,0.065,0.960
4FGL J1747.4+2330,fsrq-fsrq,23.997,48.147,15.252,4.624,fsrq,fsrq,{},0.206,fsrq,0.158,1.325,0.681,,0.134,0.470,0.030
4FGL J1747.4+2759,unID-fsrq,25.501,52.806,70.174,4.793,bcu,unID,{},0.095,,0.100,0.580,0.014,,,0.172,0.000
4FGL J1747.6-5308,unID-bll,-12.594,339.159,18.758,5.332,bcu,unID,{5},0.299,,0.100,0.509,0.123,,0.169,0.181,0.000
4FGL J1747.6+0324,unID-pulsar,15.742,28.629,9.710,16.338,,unID,{},0.046,,0.781,1.739,0.365,,0.308,0.123,0.580
4FGL J1747.6-4211,unID-fsrq,-7.183,348.821,30.025,6.766,bcu,unID,{1},0.109,,0.695,0.436,0.663,,0.335,0.305,0.180
4FGL J1747.7-4037,msp,-6.411,350.198,5.782,24.660,MSP,msp,{3},0.036,pulsar,0.790,10.169,0.699,,0.120,0.128,1.000
4FGL J1747.8-0316,unID-bll,12.555,22.575,6.374,4.673,,unID,{},0.046,,7.990,0.059,0.935,,2.962,0.612,0.060
4FGL J1747.8-3006,unID-pulsar,-1.031,359.246,21.027,5.167,,unID,"{1,5,14}",0.060,,1.614,5.540,0.669,,1.363,0.413,0.890
4FGL J1747.8-1827,unID-pulsar,4.975,9.250,10.643,4.140,,unID,"{4,5,14}",0.256,,0.762,0.729,1.512,,0.233,0.671,0.940
4FGL J1747.9-3224,unID-pulsar,-2.229,357.285,11.199,5.765,,unID,"{5,14}",0.073,,2.123,1.289,0.925,,0.893,0.474,0.990
4FGL J1747.9+4704,bll-bll,29.975,73.789,11.267,5.327,bll,bll,{},0.145,bll,0.962,0.066,1.387,,0.284,0.756,0.130
4FGL J1748.0+3403,fsrq-fsrq,27.178,59.317,61.384,17.360,fsrq,fsrq,{},0.037,fsrq,0.718,0.292,0.226,,0.509,0.119,0.000
4FGL J1748.0-2446,glc-pulsar,1.692,3.845,5.828,67.881,glc,glc,{},0.016,,1.263,631.759,0.693,,0.084,0.058,1.000
4FGL J1748.1+2702,unID-bll,25.045,51.872,25.047,6.664,bcu,unID,{},0.047,,0.100,0.218,-0.099,,,0.104,0.000
4FGL J1748.2-1942,unID-bll,4.256,8.220,8.102,7.628,,unID,"{5,14}",0.063,,0.306,1.588,0.228,,0.436,0.153,0.140
4FGL J1748.3-2906,unID-pulsar,-0.604,0.168,7.960,14.692,,unID,"{3,5,14}",0.045,,1.008,67.233,0.611,,0.419,0.183,1.000
4FGL J1748.4+1601,unID-fsrq,20.981,40.729,15.258,5.443,,unID,{},0.174,,0.719,0.103,0.738,,0.306,0.380,0.130
4FGL J1748.4+7059,unID-pulsar,30.650,101.562,8.137,4.971,,unID,{12},0.177,,1.069,0.039,1.997,,,,0.540
4FGL J1748.5-0854,unID-bll,9.655,17.653,11.402,6.186,bcu,unID,{},0.036,,15.105,0.048,0.003,,979.052,0.121,0.000
4FGL J1748.5-1648,unID-pulsar,5.673,10.756,8.675,6.193,,unID,"{5,14}",0.205,,0.469,3.625,1.706,,0.115,0.661,0.860
4FGL J1748.6+7005,bll-bll,30.713,100.524,538.252,113.422,bll,bll,{},0.010,bll,1.968,37.910,0.089,,0.343,0.016,0.000
4FGL J1748.8-3915,unID-pulsar,-5.886,351.487,21.125,15.526,,unID,{3},0.052,,1.380,4.435,1.429,,0.150,0.362,0.900
4FGL J1748.9-2021,glc-pulsar,3.793,7.739,8.005,18.434,glc,glc,{},0.047,,0.822,10.706,0.503,,0.250,0.135,0.990
4FGL J1749.0-2327,unID-pulsar,2.187,5.084,13.154,6.788,bcu,unID,"{1,2,5}",0.194,,0.384,9.786,1.000,,0.161,0.406,0.590
4FGL J1749.0+4321,bll-bll,29.152,69.629,38.622,35.698,bll,bll,{},0.021,bll,0.888,1.329,0.088,,0.601,0.043,0.010
4FGL J1749.0-2119,unID-pulsar,3.274,6.925,6.376,5.668,,unID,"{5,14}",0.210,,0.373,7.202,1.024,,0.150,0.378,0.780
4FGL J1749.5-2747,snr-pulsar,-0.142,1.430,4.594,8.100,snr,snr,"{1,2,12}",0.062,,2.655,15.660,1.984,,,,1.000
4FGL J1749.6-3143,unID-pulsar,-2.179,358.058,13.236,8.068,,unID,{6},0.097,,2.313,3.127,1.935,,0.346,0.433,0.990
4FGL J1749.8-0303,unID-fsrq,12.221,23.017,24.591,16.773,,unID,{},0.051,,0.378,10.029,0.499,,0.121,0.128,0.290
4FGL J1750.0-3347,unID-pulsar,-3.325,356.327,11.725,7.243,,unID,"{2,4,14}",0.080,,0.909,1.006,0.527,,0.485,0.257,0.890
4FGL J1750.2+4704,bll-bll,29.599,73.870,10.345,4.885,bll,bll,{},0.082,bll,41.788,0.005,0.006,,2285.721,0.154,0.000
4FGL J1750.3-3702,glc-pulsar,-5.019,353.547,9.214,24.956,glc,glc,{},0.033,,0.706,12.847,0.474,,0.160,0.104,0.890
4FGL J1750.4-1721,unID-pulsar,5.018,10.503,8.265,7.180,,unID,{14},0.104,,0.940,0.873,0.659,,0.456,0.324,0.960
4FGL J1750.4-3023,unID-pulsar,-1.657,359.291,10.678,7.894,unk,unID,"{4,5,14}",0.095,,1.055,3.625,0.651,,0.554,0.322,1.000
4FGL J1750.6-1906,unID-pulsar,4.079,9.020,4.798,7.604,,unID,"{4,14}",0.073,,0.561,1.841,0.514,,0.308,0.212,0.860
4FGL J1750.8-4405,unID-pulsar,-8.646,347.452,6.906,6.292,,unID,{},0.087,,1.023,0.228,0.664,,0.477,0.367,0.560
4FGL J1750.8-3106,unID-pulsar,-2.099,358.727,8.403,7.318,unk,unID,"{1,2,4,5,14}",0.184,,1.633,2.995,1.913,,0.283,0.598,1.000
4FGL J1750.8-1246,unID-pulsar,7.224,14.542,11.029,4.815,,unID,{4},0.162,,0.770,0.589,1.050,,0.315,0.519,0.810
