4FGL-DR4,source_type,glat,glon,variability,significance,class1,assoc_prob,association,flags,r95,trainer,Ep,Fp,d,diffuse,Ep_unc,d_unc,p_pulsar
4FGL J0015.6+5551,bll-blazar,-6.657,117.888,13.384,16.471,bll,1.000,bll,{},0.032,blazar,1000.000,1.103,-0.027,0.465,,0.084,0.000
4FGL J0015.9+2440,bll-blazar,-37.490,112.764,16.820,12.199,bll,0.998,bll,{},0.049,blazar,0.100,0.140,-0.022,-0.338,,0.110,0.000
4FGL J0016.2-0016,fsrq-blazar,-61.853,104.012,140.620,19.940,fsrq,0.997,fsrq,{},0.065,blazar,0.100,10.278,0.372,-0.524,0.048,0.107,0.000
4FGL J0016.5+1702,fsrq-blazar,-45.030,111.097,22.954,4.991,fsrq,0.808,fsrq,{},0.256,blazar,0.100,0.580,0.283,-0.210,0.140,0.274,0.000
4FGL J0017.0-0649,bcu_unk-blazar,-68.123,99.462,39.600,20.323,bcu,0.997,bcu_unk,{},0.059,,0.145,0.529,0.106,-0.451,0.301,0.083,0.000
4FGL J0017.1-4605,unID-blazar,-69.865,320.389,13.606,7.176,,0.000,unID,{},0.138,,0.100,1.768,0.064,-0.703,,0.167,0.040
4FGL J0017.4+6506,unID-blazar,2.474,119.367,18.291,5.524,,0.740,unID,{},0.051,,4.061,0.045,0.228,1.049,6.370,0.307,0.000
4FGL J0017.5-0514,fsrq-blazar,-66.668,101.210,336.545,28.707,FSRQ,1.000,fsrq,{2},0.047,blazar,0.100,9.440,0.230,-0.489,0.060,0.076,0.000
4FGL J0017.8+1455,bll-blazar,-47.168,110.965,16.263,10.465,bll,0.956,bll,{2},0.109,blazar,0.554,0.078,0.169,-0.309,1.015,0.191,0.000
4FGL J0018.4+2946,bll-blazar,-32.548,114.441,13.714,15.602,bll,1.000,bll,{},0.037,blazar,50.710,0.246,0.164,-0.296,65.818,0.115,0.000
4FGL J0018.8+5112,unID-blazar,-11.335,117.740,8.681,5.247,,0.000,unID,{1},0.454,,0.100,0.106,0.063,0.095,0.056,0.177,0.000
4FGL J0018.8+2611,fsrq-blazar,-36.109,113.883,90.943,7.910,fsrq,0.817,fsrq,{2},0.287,blazar,0.171,0.317,0.612,-0.365,0.171,0.434,0.000
4FGL J0019.2-5640,bcu_unk-blazar,-59.891,311.751,108.181,14.666,bcu,0.998,bcu_unk,{},0.074,,0.100,0.185,0.062,-0.564,0.193,0.100,0.000
